movie	15 Minutes	2001
director	Herzfeld, John	15 Minutes	2001
actor	Houston, Robert	1941	1979	Maddox's Soldier
actor	Aykroyd, Dan	1941	1979	Sgt. Frank Tree
actor	Beagle, E. Hampton	1941	1979	Phone Man
actor	Beatty, Ned	1941	1979	Ward Douglas
actor	Belushi, John	1941	1979	Capt. Wild Bill Kelso
actor	Brian, Jordan	1941	1979	Macey Douglas
actor	Calfa, Don	1941	1979	Telephone Operator
actor	Cameron, Dave	1941	1979	Reporter
actor	Candy, John	1941	1979	Pvt. Foley
actor	Carenzo, Vito	1941	1979	Vito - Shore Patrol
actor	Carlton, Mark	1941	1979	Stilwell Aide
actor	Cervantes, Gary Carlos	1941	1979	Zoot Suiter
actor	Cloud, Paul	1941	1979	Stilwell Aide
actor	Contreras, Luis	1941	1979	Zoot Suiter
actor	Cook Jr., Elisha	1941	1979	The Patron (Dexter)
actor	Taylor, Dub	1941	1979	Mr. Malcomb
actor	Tennant, Andy	1941	1979	Babyface
actor	Thibeau, Jack	1941	1979	Stilwell Aide
actor	Thompson, Galen	1941	1979	Stilwell Aide
actor	Verroca, Frankie	1941	1979	USO Nerd
actor	Voldstad, John	1941	1979	USO Nerd
actor	Williams, Treat	1941	1979	Cpl. Chuck 'Stretch' Sitarski
actor	Wolfington, Iggie	1941	1979	Meyer Mishkin
actor	Zika, Christian	1941	1979	Stevie Douglas
actor	Rourke, Mickey	1941	1979	Reese
actor	Rydbeck, Whitney	1941	1979	Daffy
actor	Scott, Donovan	1941	1979	Kid Sailor
actor	Shimizu, Hiroshi	1941	1979	Ito
actor	Silva, Geno	1941	1979	Martinez
actor	Stack, Robert	1941	1979	Maj. Gen. Joseph W. Stilwell
actor	Stander, Lionel	1941	1979	Angelo Scioli
actor	Deezen, Eddie	1941	1979	Herbie Kazlminsky
actor	Di Cicco, Bobby	1941	1979	Wally Stephens
